name,volumn
新山水庫(基隆),有效蓄水量：972.13萬立方公尺
翡翠水庫(台北、新北),有效蓄水量：24386.93萬立方公尺
石門水庫(新北、桃園、新竹),有效蓄水量：6836.27萬立方公尺
永和山水庫(新竹、苗栗),有效蓄水量：1881.90萬立方公尺
寶山水庫(新竹),有效蓄水量：178.99萬立方公尺
寶山第二水庫(新竹),有效蓄水量：1723.42萬立方公尺
明德水庫(苗栗),有效蓄水量：526.96萬立方公尺
鯉魚潭水庫(苗栗、台中),有效蓄水量：6444.03萬立方公尺
德基水庫(台中),有效蓄水量：14079.12萬立方公尺
石岡壩(台中),有效蓄水量：33.26萬立方公尺
日月潭水庫(南投),有效蓄水量：12238.94萬立方公尺
霧社水庫(南投),有效蓄水量：2079.10萬立方公尺
湖山水庫(雲林、彰化、嘉義),有效蓄水量：2012.59萬立方公尺
仁義潭水庫(嘉義),有效蓄水量：654.44萬立方公尺
蘭潭水庫(嘉義),有效蓄水量：434.95萬立方公尺
白河水庫(台南),有效蓄水量：246.00萬立方公尺
曾文水庫(嘉義、台南),有效蓄水量：16570.00萬立方公尺
烏山頭水庫(台南),有效蓄水量：6785.00萬立方公尺
南化水庫(台南、高雄),有效蓄水量：2890.60萬立方公尺
阿公店水庫(高雄),有效蓄水量：539.00萬立方公尺
牡丹水庫(屏東),有效蓄水量：857.80萬立方公尺
